,time,s_user,s_domain,scom,dcom
0,150885,U620,DOM1,C17693,C1003
1,151036,U748,DOM1,C17693,C305
2,151648,U748,DOM1,C17693,C728
3,151993,U6115,DOM1,C17693,C1173
4,153792,U636,DOM1,C17693,C294
5,155219,U748,DOM1,C17693,C5693
6,155399,U748,DOM1,C17693,C152
7,155460,U748,DOM1,C17693,C2341
8,155591,U748,DOM1,C17693,C332
9,156658,U748,DOM1,C17693,C4280
10,210086,U748,DOM1,C18025,C1493
11,210294,U748,DOM1,C18025,C1493
12,210312,U748,DOM1,C18025,C1493
13,218418,U748,DOM1,C17693,C504
14,227052,U748,DOM1,C17693,C148
15,227408,U748,DOM1,C17693,C148
16,227520,U748,DOM1,C17693,C148
17,227780,U748,DOM1,C17693,C148
18,228024,U748,DOM1,C17693,C148
19,228150,U748,DOM1,C17693,C148
20,228642,U1723,DOM1,C17693,C231
21,228658,U1723,DOM1,C17693,C231
22,229046,U1723,DOM1,C17693,C231
23,230395,U1723,DOM1,C17693,C1003
24,234667,U748,DOM1,C17693,C504
25,460197,U748,DOM1,C17693,C721
26,460711,U748,DOM1,C17693,C721
27,460991,U748,DOM1,C17693,C721
28,461842,U748,DOM1,C17693,C1567
29,463374,U748,DOM1,C17693,C1003
30,464246,U748,DOM1,C17693,C1567
31,464254,U748,DOM1,C17693,C1567
32,464260,U748,DOM1,C17693,C1567
33,464545,U737,DOM1,C19932,C612
34,466195,U737,DOM1,C19932,C457
35,467590,U1723,DOM1,C17693,C17600
36,472248,U1723,DOM1,C17693,C2519
37,472282,U1723,DOM1,C17693,C2519
38,473122,U1723,DOM1,C17693,C1275
39,483455,U1723,DOM1,C17693,C294
40,483981,U1723,DOM1,C17693,C294
41,485925,U1723,DOM1,C17693,C294
42,486443,U636,DOM1,C17693,C294
43,488034,U1723,DOM1,C17693,C1275
44,489614,U1723,DOM1,C17693,C1275
45,491747,U1723,DOM1,C17693,C294
46,578438,U737,DOM1,C19932,C1065
47,584551,U825,DOM1,C17693,C2669
48,584564,U737,DOM1,C19932,C612
49,635015,U737,DOM1,C19932,C529
50,725488,U1653,DOM1,C17693,C395
51,725589,U1653,DOM1,C17693,C2669
52,725983,U293,DOM1,C17693,C3153
53,726008,U8946,DOM1,C17693,C1610
54,726057,U293,DOM1,C17693,C3153
55,726137,U10379,C3521,C17693,C3521
56,726203,U293,DOM1,C17693,C3153
57,726347,U8946,DOM1,C17693,C1124
58,726387,U293,DOM1,C17693,C3153
59,726472,U8946,DOM1,C17693,C3199
60,726973,U293,DOM1,C17693,C3153
61,726985,U8946,DOM1,C17693,C11727
62,727060,U8601,DOM1,C17693,C754
63,727131,U212,DOM1,C17693,C126
64,727419,U212,DOM1,C17693,C126
65,727619,U212,DOM1,C17693,C126
66,727702,U8946,DOM1,C17693,C9945
67,727798,U8946,DOM1,C17693,C9945
68,727888,U8946,DOM1,C17693,C9945
69,728106,U4978,DOM1,C17693,C1448
70,728138,U8946,DOM1,C17693,C9945
71,728800,U3905,DOM1,C17693,C9945
72,729056,U995,DOM1,C17693,C1014
73,730430,U8601,DOM1,C17693,C20819
74,730524,U8601,DOM1,C17693,C20819
75,730889,U8601,DOM1,C17693,C18626
76,731101,U8601,DOM1,C17693,C18626
77,731492,U288,DOM1,C17693,C1222
78,736582,U2837,DOM1,C17693,C89
79,736894,U2837,DOM1,C17693,C1484
80,736936,U2837,DOM1,C17693,C8490
81,737011,U349,DOM1,C17693,C3601
82,737055,U2837,DOM1,C17693,C1784
83,737069,U2837,DOM1,C17693,C1784
84,737075,U2837,DOM1,C17693,C1784
85,737099,U2837,DOM1,C17693,C2519
86,737108,U8946,DOM1,C17693,C11194
87,737301,U2837,DOM1,C17693,C395
88,737761,U8946,DOM1,C17693,C10577
89,737908,U8601,DOM1,C17693,C18872
90,738382,U293,DOM1,C17693,C2597
91,738711,U293,DOM1,C17693,C2609
92,738916,U250,DOM1,C17693,C2849
93,739092,U293,DOM1,C17693,C3422
94,739214,U293,DOM1,C17693,C3153
95,739398,U293,DOM1,C17693,C42
96,739706,U1600,DOM1,C17693,C92
97,739734,U1600,DOM1,C17693,C16088
98,740104,U1600,DOM1,C17693,C92
99,740912,U349,DOM1,C17693,C886
100,740920,U349,DOM1,C17693,C886
101,741010,U8601,DOM1,C17693,C10817
102,741190,U4353,DOM1,C17693,C15232
103,741544,U349,DOM1,C17693,C801
