,time,s_user,s_domain,d_user,d_domain,scom,dcom,a_t,logon_type,a_ot,s/f
0,3360805,U5815,DOM1,U5815,DOM1,C13309,C5618,NTLM,Network,LogOn,"Success
"
0,4407278,C6945,DOM1,C6945$,DOM1,C1798,C6945,Kerberos,Network,LogOn,"Success
"
0,4615234,C585,DOM1,C585$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,1176491,C599,DOM1,C599$,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,2507058,C293,DOM1,C293$,DOM1,C293,C2162,Kerberos,Network,LogOn,"Success
"
0,2761012,C585,DOM1,C585$,DOM1,C585,C586,Kerberos,Network,LogOn,"Success
"
0,3766650,C207,DOM1,C207$,DOM1,C207,C2106,Kerberos,Network,LogOn,"Success
"
0,2638707,ANONYMOUS LOGON,C612,ANONYMOUS LOGON,C612,C612,C612,?,Network,LogOff,"Success
"
0,4835417,U9867,DOM1,U9867,DOM1,C20789,C1640,?,?,TGS,"Success
"
0,3794047,C1307,DOM1,C1307$,DOM1,C1307,C3443,Kerberos,Network,LogOn,"Success
"
0,2880370,C567,DOM1,C567$,DOM1,C467,C467,?,Network,LogOff,"Success
"
0,1978368,U10831,DOM1,U10831,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,3865390,U6267,DOM1,U6267,DOM1,C1968,C1766,?,?,TGS,"Success
"
0,2496196,U890,DOM1,U890,DOM1,C8986,C2162,NTLM,Network,LogOn,"Success
"
0,3840947,U10162,DOM1,U10162,DOM1,C449,C449,?,Network,LogOff,"Success
"
0,173998,C13132,DOM1,C13132$,DOM1,C1065,C1065,?,Network,LogOff,"Success
"
0,4433717,U4308,DOM1,U4308,DOM1,C10605,C10605,?,?,TGT,"Fail
"
0,4801235,U2713,DOM1,U2713,DOM1,C1065,C1065,?,Network,LogOff,"Success
"
0,208023,U3790,DOM1,U3790,DOM1,C9436,C9436,?,?,TGT,"Success
"
0,4722419,C589,DOM1,C589$,DOM1,C1065,C1065,?,Network,LogOff,"Success
"
0,931742,U11152,DOM1,U11152,DOM1,C539,C538,?,?,TGS,"Success
"
0,5002566,ANONYMOUS LOGON,C612,ANONYMOUS LOGON,C612,C3521,C612,NTLM,Network,LogOn,"Success
"
0,1890997,C988,DOM1,C988$,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,3934091,C16869,DOM1,C16869$,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,731687,U22,DOM1,U22,DOM1,C528,C528,?,Network,LogOff,"Success
"
0,1395793,C19343,DOM1,C19343$,DOM1,C467,C467,?,Network,LogOff,"Success
"
0,4558019,C19774,DOM1,C19774$,DOM1,C19774,C528,Kerberos,Network,LogOn,"Success
"
